text,tweet_id
@Nergal140 @Haunted_Backlog There are several channels right now that YT is hiding videos. You can still find the hidden videos in search. (ex: type timcast in the search bar) The one common thread so far is that all channels that are having videos hidden also exposed the media attack on the Covington kids.,1089245131713245200
@codehitchhiker @ItsRaisu @CarolinaCates @aj_powers @transscribe So I’m guessing the Covington High School coverage wasn’t good then…,1089311306774130700
This is all because Hillary lost.  https://t.co/VRkQgK3Dc4,1090034717833998300
@LatinMass9876 @StateStreetGA And you need to look up Nazism and the Vatican making deals with Hitler. Then look at those Covington monsters. The Catholic church is sinking fast. Thank God I left it when I saw what was coming 50 years ago.,1088938863224074200
@WesleyKushner The Covington story was huge because nothing actually happened. It allowed literally everyone to put their own stamp and spin their own narratives. This bank shooting had too many facts to be “newsworthy.”,1089021715546587100
"@AlexMLeo Oh cool, you're a #VerifiedBully on the Covington lawsuit list. I'm not surprised. Enjoy the lawsuit for your libel and slander! I know I certainly will. https://t.co/W1fkM54dBA",1089567670750638100
"SCOOP: 'Defamation Dream Team' of Five Law Firms Assembling to Take on Journalists, Media Outlets, and Celebrities Who Attacked Covington Kids https://t.co/fBIfblFgRX via @gatewaypundit",1088952933683814400
The War Over Covington and Catholicism https://t.co/hivzc0G3bK via @YouTube,1088859580279504900
The Covington incident makes me so happy those journalists got fired. I hope they all starve to death. You had ONE JOB,1091137149821345800
"❗️POTUS methodically EXPOSING Deep State &amp; puppets.
1. FAKE NEWS MSM:
-Smear Campaign against the Covington Boys
-Buzz Feed's Cohen article denied by Mueller team
2. Gov't shutdown:
-Dem's lust for power
-Paves way to remove SES &amp; fund wall
3. FBI intimidation: Roger Stone arrest",1089633711086137300
"This morning in #Covington. While my small-to-mid-sized office didn’t close due to the extreme wind chill, many others did have the day off, so the drive wasn’t quite painful. https://t.co/sEYHbydRCE",1090681722180681700
"After Covington Catholic students caught in social media maelstrom, fuller picture emerges https://t.co/N8YmZLBYRI via @cnalive",1089250721101500400
https://t.co/fAYqwrfGVA,1091460902820417500
"Yep

https://t.co/RlMctoAbrW",1089016774190923800
"Hacks on Hacks on Covington, Schultz, and the Worst of the Beacon via @freebeacon https://t.co/G3sFXY3haT",1090977116496240600
New York Times Runs Sympathetic Piece About Black Hebrew Israelite Hate Group from Covington Story https://t.co/oc70gkCeMn,1088818571910803500
@cspanwj Seems there may be a case for defamation in the Covington story,1089171537335406600
Dems' Covington smear campaign &amp; Moore/fake Russian bot network smear are SOP Dem SPIN info war operations.  New Knowledge chief exec was implicated in the Moore case.  New Knowledge wrote the report on Russian social media ops in 2016 for the Senate Intelligence Committee. https://t.co/RicIunFWcB,1090259256811622400
"BuzzFeed, Covington and the Media’s Self-Inflicted Wounds https://t.co/zF6DHXuK0x",1089580435519221800
"https://t.co/iXEBSHYnch
This just thrills me... 
A team of very high profile lawyers are joining together to fight for justice for the Covington Catholic High School students who were ruthlessly attacked by the media following a school trip to DC for the",1088931961891110900
via @BigLeaguePol: LIVE UPDATES: Here Are Some Mainstream Media Outlets The Covington Catholic Kids Are Considering SUING https://t.co/G0sBgkHXrJ https://t.co/xuudUcG8Se,1089972660124102700
"My latest.

Covington Catholic Debacle Is The Latest Manifestation Of The Left’s Identity Politics Obsession https://t.co/h9YhoUGf3D",1090035897272336400
"An Open Apology to the Covington Catholic MAGA Hat Harassment Team*
https://t.co/7FgqgWuw4t
*not what you expect",1089650432580964400
Anti-racist activist Tim Wise: Here's what I'd tell the Covington Catholic boys https://t.co/08dqLlH0tS,1089989616810250200
"“Conservative” Never-Trumpers Who Piled On Covington Kids Just Got A Taste of Their Own Medicine”
https://t.co/LUMh6ahPKZ",1089273828033802200
@eddiebravo @BellatorMMA You’re the best guest joe ever has on! Bring up the MSM coverage of the Covington kids. Can’t wait to hear Joe and Callens excuses,1089220142716907500
"White victimology, white privilege and the Covington Catholic rules of race https://t.co/PyXa9j0eNI",1.0888438425125519e+018
"@realDailyWire See the thing is that #Covington  exposed  the press and the crazy left.  Press did not hate the hates the 14 yr old boys were wearing.   THE PRESS HATED THE BOYS.  Think about that.  THEY hated the boys.  THEY enjoyed watching, participating in attacking children",1088856301822791700
#CovingtonBoys #CovingtonCatholic #Covington https://t.co/Yq0ANJIvJG,1089550529980653600
https://t.co/ktGizrqrVy,1089180127618089e3
BREAKING: . Covington bishop apologizes to pro-life students: ‘we…allowed ourselves to be bullied’ | News | LifeSite https://t.co/6fYWT2ZDVL,1089150165280346100
Nathan Phillips’s Legacy Continues: High School Teacher Doxxes Covington Student as ‘Hitler Youth’ https://t.co/Ar9D7ZU5Jn,1088971213001523200
"Attorney Robert Barnes Lists Members of Media, Hollywood Elites Who Will be Sued by Covington Students (VIDEO) https://t.co/yUGSQvef74 via @gatewaypundit",1089586041919545300
What the Covington High School Incident Tells Us About America https://t.co/3f6seo5FON,1091125397595586600
"Everyone can be manipulated (even me as I sadly found out) #NewsPicks 
#NewsGang #headlinenews (and by the #Democrats for this instance) #CovingtonCatholicHighSchool #FoxNews 
Timeline: How the Covington Hate Hoax Spread on Social Media 
https://t.co/WxK4spj6vy https://t.co/DsUlDzmAB1",1088822843356467200
Gutfeld on the Covington Catholic students: The teens became this week's media-approved evil - Fox News https://t.co/5awQ2mb9En,1089503421613424600
"@Willie700WLW Willie, you need to watch this video of @uofcincy students who would not disavow the death threats against the Covington Catholic kids. Disgusting what is going on at college campuses. Multiple calls for violence https://t.co/9llACXYMKx",1090445325570097200
"@The_Jim24 @Prefontaine68 @JamesHasson20 @BrittMcHenry @davidhogg111 There are numerous sources out there.  If you were interested in the truth, you’d have done a simple google search.  Here’s another source regarding movie producer who wanted to feed the teens into a wood chipper
https://t.co/OMoAs5K2yi",1089207239452385300
"FreeRepublic:  BuzzFeed, Covington and the Media&amp;#x92;s Self-Inflicted Wounds https://t.co/FrQmLoW0yG",1089345766886322200
"@WayneDupreeShow What do the Covington boys have to do with real talk? Considering issues pressing, how is this papercut a priority?",1088825053607649300
Opinion | Time to take on the Covington ‘smirk’ https://t.co/557vl3707U,1088911214988664800
@oliverdarcy Probably same thing you guys did about Covington story,1089592415390969900
"Also to blame is media that went along w/that judgment, like they did w/the Covington boys, but w/worse consequences. Progressives &amp; media need to care more about consequences of their hateful, biased goals. Do they think condoning violence is OK if it's against their enemies?",1090626005285380100
"@TheKevinLewis Really, this is why? Not the Covington fiasco, not the whole Buzzfeed fake story, but this? You sure about that?",1090413502135713800
"My thoughts on Covington, part 1: Nothing justifies what the Covington students did https://t.co/LiF1e6IHQp",1089206078909214700
Some people need to apologize to the #CovingtonBoys https://t.co/81C79BovhZ,1089301133787422700
"@Gorange323 @maggieNYT Nancy Preston, shame on you for your despicable attempt to make life difficult for the Covington boys who were the innocent victims of obscene verbal attacks from Black racists and who were then aggressed against by Indians who flung drum banging and insults.",1090034206153990100
CNN's 'Information Warfare Expert' Duped by Twitter Bot Pushing Dubious MAGA Hat Teen Vid https://t.co/mmqmHtnnzy #Trending via @pjmedia_com,1088913462514704400
It wasn't just left-media who joined in the Buzzfeed and Covington misreporting https://t.co/Y8zOpigIIP,1089733820117594100
Man Booted From School Board Meeting For Naming Teacher Who Called Covington Boys ‘Hitler Youth’ https://t.co/1prD2b5K4a via @dailycaller,1088948196569686e3
@realDonaldTrump I’m going to go to the Covington Catholic high school and the Diocese of Covington Chancery to make people smile with my dancing! 😊🇺🇸🕺🏻🤩 #MakeAmericaSmileAgain,1089124227905654800
Leftist Congresswoman could be hit with libel suit over false claims about Covington teens https://t.co/f843i0KFTd https://t.co/outKq9tBg5,1090286036511526900
Exclusive – Donald Trump Jr.: Covington Catholic Hoax Shows Who the Real Target of Fake News Truly Is | Breitbart https://t.co/CTEmWrZIjx via @BreitbartNews,1088848261354582e3
"@LevelTenTude @ScottAdamsSays The  bill, and all the hysteria is another issue.  I do not support the gov, or his bill.  I am overjoyed that it was defeated.. but, as Scott has pointed out,, the hysteria has weird parallels to Covington...which he will address.. soon.",1090980304398045200
Covington Student #NicholasSandmann Hires Attorney to Sue Media #MediaCovingtonCatholicHighSchool #attorney https://t.co/ueSnNw3IM3 https://t.co/zAMsbSKv9w,1088928832864817200
"I live in Covington, with many friends of various backgrounds and races. I’m heartbroken by your story. When will it change?  Thank you for sharing. https://t.co/p5cG28uY6h",1.0895082622554481e+018
"Covington Kids’ Attorney Details the People Who Now May Be Sued, and It's Terrific - Young Conservatives https://t.co/FiMMVnqIe5",1090054717554741200
"Gutfeld on the Covington Catholic students: The teens became this week's media-approved evil

https://t.co/RjJwrrDdRf",1089554469707075600
"People need to wait before overreacting to the news. @AnnCoulter

Did  they learn nothing from Covington? These are tests, and y'all keep failing.",1088998458994745300
